year: 2007,,,,,,,,,,,,
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
9,Sun,4-Nov,boxscore,Atlanta Falcons,,San Francisco 49ers,20,16,286,1,251,4
9,Sun,4-Nov,boxscore,Cleveland Browns,,Seattle Seahawks,33,30,428,1,423,2
9,Sun,4-Nov,boxscore,Minnesota Vikings,,San Diego Chargers,35,17,528,2,229,2
9,Sun,4-Nov,boxscore,Buffalo Bills,,Cincinnati Bengals,33,21,479,1,299,1
9,Sun,4-Nov,boxscore,New England Patriots,@,Indianapolis Colts,24,20,342,2,329,2
9,Sun,4-Nov,boxscore,New Orleans Saints,,Jacksonville Jaguars,41,24,538,1,432,3
9,Sun,4-Nov,boxscore,Tampa Bay Buccaneers,,Arizona Cardinals,17,10,350,0,195,2
9,Sun,4-Nov,boxscore,Green Bay Packers,@,Kansas City Chiefs,33,22,432,2,234,2
9,Sun,4-Nov,boxscore,Dallas Cowboys,@,Philadelphia Eagles,38,17,434,1,316,3
9,Sun,4-Nov,boxscore,Houston Texans,@,Oakland Raiders,24,17,359,1,310,3
9,Sun,4-Nov,boxscore,Washington Redskins,@,New York Jets,23,20,431,1,338,1
9,Mon,5-Nov,boxscore,Pittsburgh Steelers,,Baltimore Ravens,38,7,291,1,104,4
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
10,Sun,11-Nov,boxscore,St. Louis Rams,@,New Orleans Saints,37,29,409,0,299,2
10,Sun,11-Nov,boxscore,Philadelphia Eagles,@,Washington Redskins,33,25,379,2,361,2
10,Sun,11-Nov,boxscore,Green Bay Packers,,Minnesota Vikings,34,0,488,0,247,1
10,Sun,11-Nov,boxscore,Jacksonville Jaguars,@,Tennessee Titans,28,13,262,1,292,3
10,Sun,11-Nov,boxscore,Arizona Cardinals,,Detroit Lions,31,21,319,4,247,5
10,Sun,11-Nov,boxscore,Denver Broncos,@,Kansas City Chiefs,27,11,327,1,284,4
10,Sun,11-Nov,boxscore,Dallas Cowboys,@,New York Giants,31,20,323,1,300,2
10,Sun,11-Nov,boxscore,Atlanta Falcons,@,Carolina Panthers,20,13,277,1,235,2
10,Sun,11-Nov,boxscore,Buffalo Bills,@,Miami Dolphins,13,10,214,1,269,0
10,Sun,11-Nov,boxscore,Chicago Bears,@,Oakland Raiders,17,6,295,0,193,3
10,Sun,11-Nov,boxscore,Cincinnati Bengals,@,Baltimore Ravens,21,7,326,0,272,6
10,Sun,11-Nov,boxscore,Pittsburgh Steelers,,Cleveland Browns,31,28,401,1,163,1
10,Sun,11-Nov,boxscore,San Diego Chargers,,Indianapolis Colts,23,21,177,3,386,6
10,Mon,12-Nov,boxscore,Seattle Seahawks,,San Francisco 49ers,24,0,380,2,173,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
11,Sun,18-Nov,boxscore,New York Jets,,Pittsburgh Steelers,19,16,297,1,263,2
11,Sun,18-Nov,boxscore,Minnesota Vikings,,Oakland Raiders,29,22,478,5,372,2
11,Sun,18-Nov,boxscore,St. Louis Rams,@,San Francisco 49ers,13,9,207,0,244,2
11,Sun,18-Nov,boxscore,Jacksonville Jaguars,,San Diego Chargers,24,17,311,0,388,2
11,Sun,18-Nov,boxscore,Tampa Bay Buccaneers,@,Atlanta Falcons,31,7,305,2,265,4
11,Sun,18-Nov,boxscore,Dallas Cowboys,,Washington Redskins,28,23,362,1,423,2
11,Sun,18-Nov,boxscore,New York Giants,@,Detroit Lions,16,10,341,2,376,4
11,Sun,18-Nov,boxscore,New England Patriots,@,Buffalo Bills,56,10,510,0,229,2
11,Sun,18-Nov,boxscore,Houston Texans,,New Orleans Saints,23,10,390,2,327,3
11,Sun,18-Nov,boxscore,Philadelphia Eagles,,Miami Dolphins,17,7,352,3,186,0
11,Sun,18-Nov,boxscore,Indianapolis Colts,,Kansas City Chiefs,13,10,216,1,234,2
11,Sun,18-Nov,boxscore,Arizona Cardinals,@,Cincinnati Bengals,35,27,247,0,396,5
11,Sun,18-Nov,boxscore,Cleveland Browns,@,Baltimore Ravens,33,30,380,2,368,4
11,Sun,18-Nov,boxscore,Seattle Seahawks,,Chicago Bears,30,23,425,1,345,1
11,Sun,18-Nov,boxscore,Green Bay Packers,,Carolina Panthers,31,17,317,0,382,3
11,Mon,19-Nov,boxscore,Denver Broncos,,Tennessee Titans,34,20,359,1,423,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
12,Thu,22-Nov,boxscore,Green Bay Packers,@,Detroit Lions,37,26,481,1,331,1
12,Thu,22-Nov,boxscore,Indianapolis Colts,@,Atlanta Falcons,31,13,365,1,250,2
12,Thu,22-Nov,boxscore,Dallas Cowboys,,New York Jets,34,3,344,1,180,2
12,Sun,25-Nov,boxscore,San Francisco 49ers,@,Arizona Cardinals,37,31,374,0,552,4
12,Sun,25-Nov,boxscore,Seattle Seahawks,@,St. Louis Rams,24,19,302,2,265,2
12,Sun,25-Nov,boxscore,San Diego Chargers,,Baltimore Ravens,32,14,332,0,210,2
12,Sun,25-Nov,boxscore,Oakland Raiders,@,Kansas City Chiefs,20,17,312,1,292,1
12,Sun,25-Nov,boxscore,New England Patriots,,Philadelphia Eagles,31,28,410,0,391,3
12,Sun,25-Nov,boxscore,Tampa Bay Buccaneers,,Washington Redskins,19,13,192,0,412,6
12,Sun,25-Nov,boxscore,Cincinnati Bengals,,Tennessee Titans,35,6,426,1,305,2
12,Sun,25-Nov,boxscore,New Orleans Saints,@,Carolina Panthers,31,6,373,1,195,4
12,Sun,25-Nov,boxscore,Minnesota Vikings,@,New York Giants,41,17,251,0,309,4
12,Sun,25-Nov,boxscore,Cleveland Browns,,Houston Texans,27,17,397,1,314,3
12,Sun,25-Nov,boxscore,Chicago Bears,,Denver Broncos,37,34,293,4,430,2
12,Sun,25-Nov,boxscore,Jacksonville Jaguars,,Buffalo Bills,36,14,416,1,297,3
12,Mon,26-Nov,boxscore,Pittsburgh Steelers,,Miami Dolphins,3,0,216,1,159,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
13,Thu,29-Nov,boxscore,Dallas Cowboys,,Green Bay Packers,37,27,414,1,357,2
13,Sun,2-Dec,boxscore,New York Giants,@,Chicago Bears,21,16,356,4,312,0
13,Sun,2-Dec,boxscore,New York Jets,@,Miami Dolphins,40,13,372,2,187,5
13,Sun,2-Dec,boxscore,San Diego Chargers,@,Kansas City Chiefs,24,10,330,1,268,4
13,Sun,2-Dec,boxscore,Seattle Seahawks,@,Philadelphia Eagles,28,24,311,2,363,4
13,Sun,2-Dec,boxscore,Carolina Panthers,,San Francisco 49ers,31,14,323,2,195,6
13,Sun,2-Dec,boxscore,Tampa Bay Buccaneers,@,New Orleans Saints,27,23,466,1,246,1
13,Sun,2-Dec,boxscore,Indianapolis Colts,,Jacksonville Jaguars,28,25,342,1,411,2
13,Sun,2-Dec,boxscore,Tennessee Titans,,Houston Texans,28,20,382,1,315,2
13,Sun,2-Dec,boxscore,St. Louis Rams,,Atlanta Falcons,28,16,409,2,435,3
13,Sun,2-Dec,boxscore,Buffalo Bills,@,Washington Redskins,17,16,357,1,281,2
13,Sun,2-Dec,boxscore,Pittsburgh Steelers,,Cincinnati Bengals,24,10,285,4,249,1
13,Sun,2-Dec,boxscore,Arizona Cardinals,,Cleveland Browns,27,21,302,1,379,4
13,Sun,2-Dec,boxscore,Oakland Raiders,,Denver Broncos,34,20,372,1,292,4
13,Sun,2-Dec,boxscore,Minnesota Vikings,,Detroit Lions,42,10,443,1,253,1
13,Mon,3-Dec,boxscore,New England Patriots,@,Baltimore Ravens,27,24,326,1,376,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
14,Thu,6-Dec,boxscore,Washington Redskins,,Chicago Bears,24,16,345,1,356,2
14,Sun,9-Dec,boxscore,Houston Texans,,Tampa Bay Buccaneers,28,14,257,2,305,2
14,Sun,9-Dec,boxscore,New York Giants,@,Philadelphia Eagles,16,13,318,2,306,1
14,Sun,9-Dec,boxscore,New England Patriots,,Pittsburgh Steelers,34,13,421,0,349,1
14,Sun,9-Dec,boxscore,Green Bay Packers,,Oakland Raiders,38,7,445,1,233,3
14,Sun,9-Dec,boxscore,Cincinnati Bengals,,St. Louis Rams,19,10,370,2,241,2
14,Sun,9-Dec,boxscore,Minnesota Vikings,@,San Francisco 49ers,27,7,280,1,282,5
14,Sun,9-Dec,boxscore,Buffalo Bills,,Miami Dolphins,38,17,389,1,285,5
14,Sun,9-Dec,boxscore,Denver Broncos,,Kansas City Chiefs,41,7,453,0,129,3
14,Sun,9-Dec,boxscore,Dallas Cowboys,@,Detroit Lions,28,27,368,1,390,0
14,Sun,9-Dec,boxscore,Seattle Seahawks,,Arizona Cardinals,42,21,349,0,355,5
14,Sun,9-Dec,boxscore,Indianapolis Colts,@,Baltimore Ravens,44,20,334,0,243,5
14,Sun,9-Dec,boxscore,Cleveland Browns,@,New York Jets,24,18,337,1,387,2
14,Sun,9-Dec,boxscore,Jacksonville Jaguars,,Carolina Panthers,37,6,427,1,149,2
14,Sun,9-Dec,boxscore,San Diego Chargers,@,Tennessee Titans,23,17,341,3,240,2
14,Mon,10-Dec,boxscore,New Orleans Saints,@,Atlanta Falcons,34,14,473,1,323,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
15,Thu,13-Dec,boxscore,Houston Texans,,Denver Broncos,31,13,358,1,308,0
15,Sat,15-Dec,boxscore,San Francisco 49ers,,Cincinnati Bengals,20,13,337,0,313,0
15,Sun,16-Dec,boxscore,New England Patriots,,New York Jets,20,10,265,1,234,2
15,Sun,16-Dec,boxscore,Tennessee Titans,@,Kansas City Chiefs,26,17,327,0,306,3
15,Sun,16-Dec,boxscore,Philadelphia Eagles,@,Dallas Cowboys,10,6,315,1,240,3
15,Sun,16-Dec,boxscore,Miami Dolphins,,Baltimore Ravens,22,16,360,0,345,1
15,Sun,16-Dec,boxscore,Carolina Panthers,,Seattle Seahawks,13,10,322,0,282,1
15,Sun,16-Dec,boxscore,Washington Redskins,@,New York Giants,22,10,309,0,307,1
15,Sun,16-Dec,boxscore,Jacksonville Jaguars,@,Pittsburgh Steelers,29,22,421,1,217,0
15,Sun,16-Dec,boxscore,Green Bay Packers,@,St. Louis Rams,33,14,277,3,364,2
15,Sun,16-Dec,boxscore,Tampa Bay Buccaneers,,Atlanta Falcons,37,3,285,1,133,4
15,Sun,16-Dec,boxscore,Cleveland Browns,,Buffalo Bills,8,0,304,0,232,0
15,Sun,16-Dec,boxscore,Indianapolis Colts,@,Oakland Raiders,21,14,322,1,253,0
15,Sun,16-Dec,boxscore,New Orleans Saints,,Arizona Cardinals,31,24,421,2,317,2
15,Sun,16-Dec,boxscore,San Diego Chargers,,Detroit Lions,51,14,416,0,328,6
15,Mon,17-Dec,boxscore,Minnesota Vikings,,Chicago Bears,20,13,372,4,209,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
16,Thu,20-Dec,boxscore,Pittsburgh Steelers,@,St. Louis Rams,41,24,425,0,316,2
16,Sat,22-Dec,boxscore,Dallas Cowboys,@,Carolina Panthers,20,13,405,1,216,1
16,Sun,23-Dec,boxscore,Philadelphia Eagles,@,New Orleans Saints,38,23,435,1,346,1
16,Sun,23-Dec,boxscore,Jacksonville Jaguars,,Oakland Raiders,49,11,437,2,215,4
16,Sun,23-Dec,boxscore,Seattle Seahawks,,Baltimore Ravens,27,6,336,2,293,3
16,Sun,23-Dec,boxscore,San Francisco 49ers,,Tampa Bay Buccaneers,21,19,213,2,434,2
16,Sun,23-Dec,boxscore,Washington Redskins,@,Minnesota Vikings,32,21,367,0,299,3
16,Sun,23-Dec,boxscore,Tennessee Titans,,New York Jets,10,6,273,2,296,2
16,Sun,23-Dec,boxscore,New York Giants,@,Buffalo Bills,38,21,383,4,244,4
16,Sun,23-Dec,boxscore,New England Patriots,,Miami Dolphins,28,7,400,4,241,0
16,Sun,23-Dec,boxscore,Arizona Cardinals,,Atlanta Falcons,30,27,437,0,405,1
16,Sun,23-Dec,boxscore,Cincinnati Bengals,,Cleveland Browns,19,14,270,3,380,4
16,Sun,23-Dec,boxscore,Chicago Bears,,Green Bay Packers,35,7,240,0,274,2
16,Sun,23-Dec,boxscore,Indianapolis Colts,,Houston Texans,38,15,458,1,299,3
16,Sun,23-Dec,boxscore,Detroit Lions,,Kansas City Chiefs,25,20,236,1,407,1
16,Mon,24-Dec,boxscore,San Diego Chargers,,Denver Broncos,23,3,334,1,225,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
17,Sat,29-Dec,boxscore,New England Patriots,@,New York Giants,38,35,390,0,316,1
17,Sun,30-Dec,boxscore,Tennessee Titans,@,Indianapolis Colts,16,10,356,2,194,1
17,Sun,30-Dec,boxscore,Baltimore Ravens,,Pittsburgh Steelers,27,21,334,1,264,3
17,Sun,30-Dec,boxscore,Arizona Cardinals,,St. Louis Rams,48,19,422,2,234,3
17,Sun,30-Dec,boxscore,San Diego Chargers,@,Oakland Raiders,30,17,253,1,316,4
17,Sun,30-Dec,boxscore,Atlanta Falcons,,Seattle Seahawks,44,41,364,0,501,3
17,Sun,30-Dec,boxscore,Cleveland Browns,,San Francisco 49ers,20,7,358,1,185,0
17,Sun,30-Dec,boxscore,Chicago Bears,,New Orleans Saints,33,25,275,3,413,3
17,Sun,30-Dec,boxscore,Denver Broncos,,Minnesota Vikings,22,19,362,0,332,3
17,Sun,30-Dec,boxscore,Philadelphia Eagles,,Buffalo Bills,17,9,391,2,271,0
17,Sun,30-Dec,boxscore,Carolina Panthers,@,Tampa Bay Buccaneers,31,23,349,2,303,1
17,Sun,30-Dec,boxscore,Cincinnati Bengals,@,Miami Dolphins,38,25,393,1,336,1
17,Sun,30-Dec,boxscore,Washington Redskins,,Dallas Cowboys,27,6,354,2,147,1
17,Sun,30-Dec,boxscore,Green Bay Packers,,Detroit Lions,34,13,394,1,293,2
17,Sun,30-Dec,boxscore,Houston Texans,,Jacksonville Jaguars,42,28,290,1,381,1
17,Sun,30-Dec,boxscore,New York Jets,,Kansas City Chiefs,13,10,337,0,219,0
,,Playoffs,,,,,,,,,,
WildCard,Sat,5-Jan,boxscore,Jacksonville Jaguars,@,Pittsburgh Steelers,31,29,239,2,340,4
WildCard,Sat,5-Jan,boxscore,Seattle Seahawks,,Washington Redskins,35,14,304,2,319,2
WildCard,Sun,6-Jan,boxscore,San Diego Chargers,,Tennessee Titans,17,6,350,1,248,2
WildCard,Sun,6-Jan,boxscore,New York Giants,@,Tampa Bay Buccaneers,24,14,277,0,271,3
Division,Sat,12-Jan,boxscore,Green Bay Packers,,Seattle Seahawks,42,20,408,2,200,1
Division,Sat,12-Jan,boxscore,New England Patriots,,Jacksonville Jaguars,31,20,403,0,350,2
Division,Sun,13-Jan,boxscore,New York Giants,@,Dallas Cowboys,21,17,230,0,336,1
Division,Sun,13-Jan,boxscore,San Diego Chargers,@,Indianapolis Colts,28,24,411,1,446,3
